Time         Price         Trend        Volume(,000)
10:30        0.036        down         2850
10:31        0.034        down         5180
10:32        0.033        down         1610
10:33        0.034        up        330
10:34        0.026        down         13230
10:35        0.025        down         8390
10:36        0.025        same        7140
10:37        0.026        up        3340
10:38        0.025        down         7160
10:39        0.027        up        4910
10:40        0.026        down         3420
10:41        0.027        up        3260
10:42        0.028        up        1810
10:43        0.023        down         15040
10:44        0.026        up        10300
10:45        0.027        up        3230
